Player,Current Team,Shot Team,Month,Year,Opponent,Opp. GK,Foot,Run up speed,Kick speed,X,Y,Result
Anthony Velarde,,Pittsburgh Riverhounds,9,2020,Hartford Athletic,None,Left,Fast,Fast,9,0,Goal
Anthony Velarde,,Pittsburgh Riverhounds,9,2020,Loudoun United,None,Left,Fast,Medium,3,0,Goal
Jesus Partida,,"University of Nevada, Las Vegas",11,2021,Dixie State,None,Left,Medium,Medium,2,0,Goal
Jesus Partida,,"University of Nevada, Las Vegas",10,2021,Chicago State,None,Left,Medium,Fast,6,2,Goal
Jesus Partida,,"University of Nevada, Las Vegas",9,2021,UC Irvine,None,Left,Medium,Medium,9,1,Goal
Jesus Partida,,"University of Nevada, Las Vegas",4,2021,University of Seattle,None,Left,Medium,Medium,2,0,Goal
Diego Casillas,,LA Force,9,2021,Chattanooga Red Wolves,None,Right,,,,,Goal
Cherif Dieye,,New York Red Bulls II,8,2020,Loudoun United,None,Right,Medium,Fast,2,0,Save
Jose Carrera,,Chattanooga Red Wolves,8,2022,Charlotte Independence,None,Right,Medium,Slow,6,1,Save
Jose Carrera,,Chattanooga Red Wolves,10,2021,North Carolina FC,None,Right,Medium,Medium,3,0,Save
Jose Carrera,,Las Vegas Lights,7,2020,San Diego Loyal,None,Right,Medium,Medium,4,0,Save
Villyan Bijev,,Central Valley Fuego,8,2022,Union Omaha,None,Right,Fast,Medium,2,0,Save
Villyan Bijev,,OKC Energy,8,2021,Atlanta United II,None,Right,Fast,Medium,2,0,Goal
Villyan Bijev,,OKC Energy,8,2021,Louisville City,None,Right,Fast,Medium,2,0,Goal
Villyan Bijev,,OKC Energy,6,2021,Sporting Kansas City II,None,Right,Fast,Fast,9,0,Goal
Villyan Bijev,,OKC Energy,6,2021,Birmingham Legion,None,Right,Fast,Medium,9,0,Goal
Villyan Bijev,,Sacramento Republic,8,2020,Reno 1868,None,Right,Fast,Fast,9,0,Goal
Villyan Bijev,,Portland Timbers II,8,2017,Colorado Springs,None,Right,Fast,Fast,4,2,Save
Villyan Bijev,,Portland Timbers II,7,2017,Orange County SC,None,Right,Fast,Medium,2,0,Goal
Villyan Bijev,,Portland Timbers II,6,2017,OKC Energy,None,Right,Fast,Medium,8,0,Goal
Villyan Bijev,,Portland Timbers II,4,2017,Sacramento Republic,None,Right,Fast,Slow,8,2,Goal
Villyan Bijev,,Portland Timbers II,4,2017,Seattle Sounders II,None,Right,Fast,Fast,3,1,Save
Villyan Bijev,,Portland Timbers II,9,2016,OKC Energy,None,Right,Medium,Slow,7,3,Goal
Villyan Bijev,,Portland Timbers II,5,2016,Seattle Sounders II,None,Right,Medium,Medium,10,0,Miss
Villyan Bijev,,Liverpool U21,8,2013,Southampton U21,None,Right,Medium,Medium,9,1,Goal
Matthew Mahoney,,Bethlehem Steel,10,2018,Pittsburgh Riverhounds,None,Medium,Medium,Medium,8,1,Goal
Oskar Agren,,San Jose Earthquakes,5,2022,Seattle Sounders,None,Right,Medium,Medium,8,0,Goal
Oskar Agren,,San Jose Earthquakes II,4,2022,Tacoma Defiance,None,Right,Medium,Fast,9,0,Goal
Oskar Agren,,Clemson Tigers,12,2021,Notre Dame Fighting Irish,None,Right,Medium,Medium,2,0,Goal
Oskar Agren,,Clemson Tigers,12,2021,Oregon State Beavers,None,Right,Medium,Medium,7,0,Goal
Oskar Agren,,Clemson Tigers,11,2021,Denver Pioneers,None,Right,Medium,Medium,5,0,Goal
Oskar Agren,,Clemson Tigers,10,2021,FIU Panthers,None,Right,Medium,Fast,9,0,Goal
Oskar Agren,,Clemson Tigers,5,2021,Marshall Thundering Herd,None,Right,Medium,Medium,8,1,Goal
Oskar Agren,,Clemson Tigers,3,2021,Syracuse Orange,None,Right,Slow,Medium,3,0,Save
Drew Skundrich,,Bethlehem Steel,10,2018,Pittsburgh Riverhounds,None,Right,Fast,Fast,9,0,Goal
Deshane Beckford,,Colorado Springs Switchbacks,8,2021,Rio Grande Valley,None,Right,Medium,Medium,7,0,Save
Zach Zandi,,Colorado Springs Switchbacks,3,2023,San Antonio FC,None,Right,Slow,Fast,8,0,Save
Maalique Foster,,Colorado Springs Switchbacks,4,2023,Pittsburgh Riverhounds,None,Right,Slow,Slow,4,0,Save
Maalique Foster,,Sacramento Republic,10,2022,LA Galaxy II,None,Right,Medium,Medium,1,0,Miss
Maalique Foster,,Sacramento Republic,7,2022,Sporting Kansas City,None,Right,Medium,Slow,5,1,Goal
Maalique Foster,,Rio Grande Valley,3,2019,Fresno FC,None,Right,Medium,Medium,10,0,Miss
Devon Williams,,Miami FC,8,2021,Hartford Athletic,None,Right,Fast,Fast,8,0,Save
Devon Williams,,Miami FC,8,2021,Pittsburgh Riverhounds,None,Right,Fast,Fast,3,0,Goal
Devon Williams,,Louisville City,9,2017,Pittsburgh Riverhounds,None,Right,MFast,Fast,3,0,Goal
James Musa,,Swope Park Rangers,11,2017,OKC Energy,None,Left,Medium,Fast,3,2,Goal
Jairo Henriquez,,Colorado Springs Switchbacks,6,2023,Orange County SC,None,Right,Medium,Fast,2,0,Goal
Jairo Henriquez,,Colorado Springs Switchbacks,7,2022,Charleston Battery,None,Right,Slow,Fast,2,0,Goal
Jairo Henriquez,,Aguila,5,2022,Alianza,None,Right,Slow,Fast,2,2,Goal
Romario Williams,,Colorado Springs Switchbacks,5,2023,El Paso Locomotive,None,Right,Medium,Fast,9,0,Goal
Romario Williams,,Miami FC,10,2020,Atlanta United II,None,Right,Slow,Fast,2,2,Goal
Romario Williams,,Miami FC,8,2020,Charlotte Independence,None,Right,Medium,Medium,3,1,Save
Romario Williams,,Miami FC,3,2020,Saint Louis FC,None,Right,Medium,Medium,2,0,Goal
Aaron Wheeler,,Harrisburg City Islanders,3,2017,Richmond Kickers,None,Right,Medium,Fast,4,0,Save
Romario Williams,,Colorado Springs Switchbacks,7,2023,Monterey Bay FC,Carlos Herrera,Right,Medium,Fast,8,0,Goal
Rhys Williams,,Detroit City,5,2022,Louisville City,None,Right,Medium,Medium,8,0,Save
Stephen Carroll,,Detroit City,5,2022,Louisville City,None,Right,Medium,Fast,7,3,Miss
Maxi Rodriguez,,Detroit City,6,2023,Hartford Athletic,None,Right,Medium,Medium,2,0,Save
Maxi Rodriguez,,Detroit City,7,2022,New Mexico United,None,Right,Medium,Medium,2,0,Goal
Maxi Rodriguez,,Detroit City,5,2022,Louisville City,None,Right,Medium,Medium,9,0,Goal
Maxi Rodriguez,,Detroit City,5,2022,Louisville City,None,Right,Medium,Medium,8,1,Goal
Maxi Rodriguez,,Detroit City,4,2022,Columbus Crew,None,Right,Medium ,Fast,2,0,Goal
Maxi Rodriguez,,Detroit City,3,2022,Pittsburgh Riverhounds,None,Right,Medium,Medium,2,0,Goal
Abdoulaye Diop,,Atlanta United II,10,2021,Memphis 901,None,Right,Medium,Fast,2,1,Goal
Andrew Billhardt,,South Georgia Tormenta,9,2022,Richmond Kickers,None,Left,Medium,Fast,8,0,Goal
Andrew Billhardt,,USF Bulls,11,2019,SMU Mustangs,None,Left,Medium,Fast,9,0,Goal
Andrew Billhardt,,USF Bulls,11,2019,Cincinnati Bearcats University,None,Left,Medium,Medium,2,0,Goal
Dario Suarez,,FC Tulsa,5,2023,Detroit City,None,Right,Medium,Medium,6,0,Goal
Dario Suarez,,FC Tulsa,10,2022,Indy Eleven,None,Right,Medium,Fast,5,0,Goal
Dario Suarez,,FC Tulsa,8,2022,Hartford Athletic,None,Right,Medium,Fast,2,1,Goal
Dario Suarez,,FC Tulsa,9,2021,Sporting Kansas City II,None,Right,Medium,Fast,2,0,Goal
Dario Suarez,,FC Tulsa,9,2021,Birmingham Legion,None,Right,Medium,Fast,2,2,Goal
Dario Suarez,,FC Tulsa,9,2021,Indy Eleven,None,Right,Medium,Fast,6,0,Goal
Dario Suarez,,FC Tulsa,6,2021,Sporting Kansas City II,None,Right,Medium,Fast,5,0,Goal
Eder Borelli,El Paso Locomotive,El Paso Locomotive,10,2020,New Mexico United,None,Left,Medium,Fast,2,0,Goal
Denys Kostyshyn,,Kolos Kovalivka,4,2021,Olimpik Donetsk,None,Left,Fast,Fast,6,1,Goal
Denys Kostyshyn,,Kolos Kovalivka,12,2020,Nyva Vinnytsya,None,Left,Fast,Medium,9,0,Goal
Josue Gomez,,El Paso Locomotive,6,2022,Phoenix Rising,None,Left,Medium,Fast,2,0,Goal
Josue Gomez,,El Paso Locomotive,4,2022,Oakland Roots,None,Left,Medium,Fast,1,0,Miss
Josue Gomez,,El Paso Locomotive,4,2022,Monterey Bay FC,None,Left,Medium,Fast,2,1,Goal
Josue Gomez,,El Paso Locomotive,10,2020,Phoenix Rising,None,Left,Medium,Medium,1,3,Miss
Josue Gomez,,El Paso Locomotive,9,2020,San Antonio FC,None,Left,Medium,Medium,2,0,Goal
Josue Gomez,,El Paso Locomotive,7,2020,New Mexico United,None,Left,Medium,Fast,2,0,Goal
Josue Gomez,,Juarez,3,2017,Queretaro,None,Left,Fast,Fast,2,0,Goal
Luis Solignac,,El Paso Locomotive,6,2023,Las Vegas Lights,None,Right,Medium,Fast,8,2,Goal
Luis Solignac,,El Paso Locomotive,6,2023,Las Vegas Lights,None,Right,Medium,Medium,3,0,Save
